,channels,has_transaction,user_id,day,month,year,visitStartTime
18646,Google Search,True,166,28,12,2020,2020-12-28
18647,Google Search,False,219,9,2,2020,2020-02-09
18648,Organic,False,47,2,3,2020,2020-03-02
18649,Instagram,True,686,21,4,2020,2020-04-21
18650,Google Search,False,122,10,5,2020,2020-05-10
18651,Google Display,False,469,5,4,2020,2020-04-05
18652,Google Search,False,589,1,7,2020,2020-07-01
18653,Instagram,False,546,14,2,2020,2020-02-14
18654,Instagram,True,186,20,6,2020,2020-06-20
18655,Facebook,False,631,9,10,2020,2020-10-09
18656,Organic,True,476,8,7,2020,2020-07-08
18657,Facebook,False,49,21,4,2020,2020-04-21
18658,Facebook,False,361,12,9,2020,2020-09-12
18659,Email Marketing,False,107,27,12,2020,2020-12-27
18660,Organic,True,53,28,12,2020,2020-12-28
18661,Organic,False,564,23,10,2020,2020-10-23
18662,Google Search,False,64,23,3,2020,2020-03-23
18663,Direct,True,187,24,5,2020,2020-05-24
18664,Facebook,True,84,1,10,2020,2020-10-01
18665,Organic,False,284,1,2,2020,2020-02-01
18666,Facebook,True,628,22,8,2020,2020-08-22
18667,Email Marketing,True,252,17,4,2020,2020-04-17
18668,Organic,False,10,9,5,2020,2020-05-09
18669,Organic,False,415,20,12,2020,2020-12-20
18670,Organic,False,562,22,1,2020,2020-01-22
18671,Organic,True,502,5,5,2020,2020-05-05
18672,Facebook,False,395,23,4,2020,2020-04-23
18673,Organic,True,311,18,5,2020,2020-05-18
18674,Facebook,False,62,10,5,2020,2020-05-10
18675,Google Search,False,273,5,11,2020,2020-11-05
18676,Organic,True,577,4,3,2020,2020-03-04
18677,Google Display,True,63,22,5,2020,2020-05-22
18678,Facebook,True,74,9,8,2020,2020-08-09
18679,Organic,False,574,9,2,2020,2020-02-09
18680,Organic,True,162,12,3,2020,2020-03-12
18681,Organic,False,318,22,6,2020,2020-06-22
18682,Youtube,False,21,14,8,2020,2020-08-14
18683,Facebook,True,198,1,3,2020,2020-03-01
18684,Organic,False,331,9,10,2020,2020-10-09
18685,Youtube,True,250,1,1,2020,2020-01-01
18686,Organic,False,515,13,9,2020,2020-09-13
18687,Organic,True,558,16,5,2020,2020-05-16
18688,Instagram,False,320,20,1,2020,2020-01-20
18689,Google Search,False,552,14,9,2020,2020-09-14
18690,Facebook,True,600,23,5,2020,2020-05-23
18691,Organic,False,175,9,6,2020,2020-06-09
18692,Organic,False,682,23,11,2020,2020-11-23
18693,Facebook,True,697,12,10,2020,2020-10-12
18694,Organic,False,99,22,2,2020,2020-02-22
18695,Youtube,False,233,10,1,2020,2020-01-10
18696,Organic,False,668,21,3,2020,2020-03-21
18697,Organic,False,17,3,12,2020,2020-12-03
18698,Organic,False,473,24,1,2020,2020-01-24
18699,Facebook,False,524,8,8,2020,2020-08-08
18700,Instagram,False,354,27,4,2020,2020-04-27
18701,Youtube,True,674,16,7,2020,2020-07-16
18702,Instagram,True,691,11,2,2020,2020-02-11
18703,Organic,False,262,19,10,2020,2020-10-19
18704,Direct,True,332,16,12,2020,2020-12-16
18705,Youtube,False,290,19,12,2020,2020-12-19
18706,Organic,False,503,5,10,2020,2020-10-05
18707,Facebook,False,523,14,1,2020,2020-01-14
18708,Organic,True,215,18,1,2020,2020-01-18
18709,Google Search,False,631,12,5,2020,2020-05-12
18710,Organic,False,382,7,10,2020,2020-10-07
18711,Facebook,True,201,25,6,2020,2020-06-25
18712,Google Search,False,499,28,7,2020,2020-07-28
18713,Google Search,False,606,4,11,2020,2020-11-04
18714,Direct,True,196,4,2,2020,2020-02-04
18715,Organic,False,290,11,6,2020,2020-06-11
18716,Organic,True,290,19,3,2020,2020-03-19
18717,Facebook,True,581,3,10,2020,2020-10-03
18718,Organic,False,87,24,9,2020,2020-09-24
18719,Facebook,False,413,25,8,2020,2020-08-25
18720,Organic,False,148,21,7,2020,2020-07-21
18721,Google Search,False,365,11,6,2020,2020-06-11
18722,Organic,False,650,13,6,2020,2020-06-13
18723,Organic,True,463,19,7,2020,2020-07-19
18724,Email Marketing,False,469,17,4,2020,2020-04-17
18725,Google Search,False,484,16,9,2020,2020-09-16
18726,Youtube,True,532,7,9,2020,2020-09-07
18727,Organic,False,272,21,2,2020,2020-02-21
18728,Instagram,False,563,27,4,2020,2020-04-27
18729,Direct,False,51,28,6,2020,2020-06-28
18730,Organic,False,167,18,9,2020,2020-09-18
18731,Google Display,False,69,16,3,2020,2020-03-16
18732,Google Search,False,260,25,2,2020,2020-02-25
18733,Organic,False,473,20,8,2020,2020-08-20
18734,Organic,True,533,9,2,2020,2020-02-09
18735,Google Display,False,633,11,3,2020,2020-03-11
18736,Organic,False,693,27,1,2020,2020-01-27
18737,Google Display,True,240,5,3,2020,2020-03-05
18738,Google Search,True,80,27,6,2020,2020-06-27
18739,Direct,False,22,13,3,2020,2020-03-13
18740,Facebook,True,609,24,3,2020,2020-03-24
18741,Facebook,False,692,8,10,2020,2020-10-08
18742,Google Search,True,554,25,2,2020,2020-02-25
18743,Google Search,False,426,24,3,2020,2020-03-24
18744,Facebook,False,22,1,1,2020,2020-01-01
18745,Email Marketing,False,507,27,2,2020,2020-02-27
18746,Google Search,True,99,17,7,2020,2020-07-17
18747,Google Search,True,246,6,2,2020,2020-02-06
18748,Facebook,False,122,18,6,2020,2020-06-18
18749,Google Display,True,621,18,7,2020,2020-07-18
18750,Organic,True,176,2,7,2020,2020-07-02
18751,Organic,True,66,27,10,2020,2020-10-27
18752,Google Search,False,106,22,5,2020,2020-05-22
18753,Instagram,False,562,1,8,2020,2020-08-01
18754,Facebook,False,189,24,9,2020,2020-09-24
18755,Organic,False,71,9,9,2020,2020-09-09
18756,Organic,False,108,6,3,2020,2020-03-06
18757,Facebook,False,184,24,2,2020,2020-02-24
18758,Google Display,False,274,16,12,2020,2020-12-16
18759,Instagram,True,257,19,4,2020,2020-04-19
18760,Facebook,True,644,14,10,2020,2020-10-14
18761,Google Search,False,518,26,2,2020,2020-02-26
18762,Google Search,False,89,23,8,2020,2020-08-23
18763,Facebook,False,380,1,3,2020,2020-03-01
18764,Direct,True,361,20,1,2020,2020-01-20
18765,Organic,True,71,25,3,2020,2020-03-25
18766,Organic,False,478,8,4,2020,2020-04-08
18767,Email Marketing,False,88,5,3,2020,2020-03-05
18768,Organic,False,318,18,6,2020,2020-06-18
18769,Organic,False,233,27,1,2020,2020-01-27
18770,Organic,False,373,9,6,2020,2020-06-09
18771,Google Search,False,522,21,9,2020,2020-09-21
18772,Organic,False,594,26,11,2020,2020-11-26
18773,Google Display,False,463,26,7,2020,2020-07-26
18774,Organic,False,64,23,6,2020,2020-06-23
18775,Instagram,False,391,4,8,2020,2020-08-04
18776,Facebook,False,181,15,7,2020,2020-07-15
18777,Organic,True,118,24,1,2020,2020-01-24
18778,Facebook,False,289,8,6,2020,2020-06-08
18779,Direct,True,72,8,4,2020,2020-04-08
18780,Organic,True,417,7,9,2020,2020-09-07
18781,Google Search,False,269,14,2,2020,2020-02-14
18782,Facebook,False,156,26,7,2020,2020-07-26
18783,Youtube,False,57,21,5,2020,2020-05-21
18784,Facebook,False,369,7,10,2020,2020-10-07
18785,Facebook,True,34,23,11,2020,2020-11-23
18786,Organic,True,252,4,11,2020,2020-11-04
18787,Organic,False,199,21,11,2020,2020-11-21
18788,Google Search,False,521,23,10,2020,2020-10-23
18789,Facebook,True,132,5,9,2020,2020-09-05
18790,Organic,False,298,14,11,2020,2020-11-14
18791,Facebook,True,629,3,2,2020,2020-02-03
18792,Google Display,True,201,13,9,2020,2020-09-13
18793,Facebook,False,211,17,5,2020,2020-05-17
18794,Organic,True,672,24,10,2020,2020-10-24
18795,Organic,True,396,13,12,2020,2020-12-13
18796,Organic,True,456,11,8,2020,2020-08-11
18797,Organic,True,261,19,10,2020,2020-10-19
18798,Direct,False,345,20,3,2020,2020-03-20
18799,Youtube,True,131,21,12,2020,2020-12-21
18800,Google Display,True,387,17,1,2020,2020-01-17
18801,Direct,False,543,19,5,2020,2020-05-19
18802,Direct,False,491,15,2,2020,2020-02-15
18803,Google Search,False,134,20,12,2020,2020-12-20
18804,Facebook,False,138,8,10,2020,2020-10-08
18805,Email Marketing,False,257,5,9,2020,2020-09-05
18806,Google Display,False,402,7,1,2020,2020-01-07
18807,Organic,False,333,12,9,2020,2020-09-12
18808,Google Search,True,563,20,10,2020,2020-10-20
18809,Google Search,False,250,22,3,2020,2020-03-22
18810,Organic,False,257,5,7,2020,2020-07-05
18811,Instagram,False,374,24,5,2020,2020-05-24
18812,Google Search,True,80,22,12,2020,2020-12-22
18813,Instagram,False,677,24,8,2020,2020-08-24
18814,Direct,True,692,9,8,2020,2020-08-09
18815,Organic,True,130,5,5,2020,2020-05-05
18816,Organic,False,454,23,12,2020,2020-12-23
18817,Direct,True,116,10,9,2020,2020-09-10
18818,Direct,False,331,21,7,2020,2020-07-21
18819,Facebook,False,166,21,6,2020,2020-06-21
18820,Email Marketing,True,379,4,6,2020,2020-06-04
18821,Organic,True,88,27,2,2020,2020-02-27
18822,Email Marketing,True,671,7,3,2020,2020-03-07
18823,Organic,False,553,20,1,2020,2020-01-20
18824,Instagram,True,658,25,11,2020,2020-11-25
18825,Google Search,False,456,19,1,2020,2020-01-19
18826,Google Search,True,569,6,8,2020,2020-08-06
18827,Organic,True,15,21,7,2020,2020-07-21
18828,Google Search,False,459,16,9,2020,2020-09-16
18829,Facebook,True,58,6,7,2020,2020-07-06
18830,Direct,False,76,11,7,2020,2020-07-11
18831,Instagram,False,75,12,8,2020,2020-08-12
18832,Organic,True,276,13,5,2020,2020-05-13
18833,Organic,False,425,7,10,2020,2020-10-07
18834,Organic,False,683,3,12,2020,2020-12-03
18835,Facebook,True,62,15,4,2020,2020-04-15
18836,Organic,False,390,3,8,2020,2020-08-03
18837,Google Search,False,72,8,12,2020,2020-12-08
18838,Facebook,False,647,9,10,2020,2020-10-09
18839,Facebook,False,571,25,5,2020,2020-05-25
18840,Google Search,False,301,19,10,2020,2020-10-19
18841,Organic,True,641,23,6,2020,2020-06-23
18842,Google Search,False,184,12,12,2020,2020-12-12
18843,Google Display,False,137,15,6,2020,2020-06-15
18844,Google Search,True,230,15,11,2020,2020-11-15
18845,Organic,False,600,19,10,2020,2020-10-19
18846,Google Search,True,207,19,5,2020,2020-05-19
18847,Organic,False,32,22,5,2020,2020-05-22
18848,Google Display,False,633,15,6,2020,2020-06-15
18849,Direct,False,617,6,12,2020,2020-12-06
18850,Google Search,False,477,19,9,2020,2020-09-19
18851,Email Marketing,False,669,10,4,2020,2020-04-10
18852,Youtube,True,229,20,11,2020,2020-11-20
18853,Organic,False,280,25,6,2020,2020-06-25
18854,Facebook,True,655,22,11,2020,2020-11-22
18855,Facebook,True,674,5,11,2020,2020-11-05
18856,Organic,False,92,2,9,2020,2020-09-02
18857,Organic,True,621,3,4,2020,2020-04-03
18858,Google Search,False,625,9,4,2020,2020-04-09
18859,Instagram,False,327,11,2,2020,2020-02-11
18860,Google Display,False,114,6,9,2020,2020-09-06
18861,Facebook,False,61,24,6,2020,2020-06-24
18862,Google Search,True,221,11,12,2020,2020-12-11
18863,Facebook,False,631,13,11,2020,2020-11-13
18864,Facebook,True,414,20,10,2020,2020-10-20
18865,Google Search,False,665,24,12,2020,2020-12-24
18866,Organic,False,640,21,4,2020,2020-04-21
18867,Facebook,False,256,12,5,2020,2020-05-12
18868,Facebook,False,31,3,7,2020,2020-07-03
18869,Youtube,False,642,3,1,2020,2020-01-03
18870,Youtube,True,510,23,12,2020,2020-12-23
18871,Organic,False,160,6,8,2020,2020-08-06
18872,Google Display,False,596,25,3,2020,2020-03-25
18873,Facebook,False,407,6,12,2020,2020-12-06
18874,Google Search,False,260,17,7,2020,2020-07-17
18875,Organic,False,667,20,6,2020,2020-06-20
18876,Youtube,False,687,4,11,2020,2020-11-04
18877,Organic,True,229,23,9,2020,2020-09-23
18878,Youtube,True,343,16,2,2020,2020-02-16
18879,Google Search,True,350,4,11,2020,2020-11-04
18880,Organic,False,219,10,2,2020,2020-02-10
18881,Organic,True,352,1,1,2020,2020-01-01
18882,Google Display,True,275,3,10,2020,2020-10-03
18883,Direct,True,324,4,11,2020,2020-11-04
18884,Email Marketing,True,550,8,9,2020,2020-09-08
18885,Instagram,False,283,27,5,2020,2020-05-27
18886,Direct,False,549,2,5,2020,2020-05-02
18887,Facebook,False,335,6,2,2020,2020-02-06
18888,Youtube,False,633,4,1,2020,2020-01-04
18889,Email Marketing,False,258,27,2,2020,2020-02-27
18890,Organic,True,583,6,1,2020,2020-01-06
18891,Organic,True,13,5,3,2020,2020-03-05
18892,Organic,False,630,3,11,2020,2020-11-03
18893,Google Search,False,362,25,10,2020,2020-10-25
18894,Organic,False,244,4,8,2020,2020-08-04
18895,Google Search,False,507,16,4,2020,2020-04-16
18896,Facebook,False,245,11,7,2020,2020-07-11
18897,Facebook,False,113,17,9,2020,2020-09-17
18898,Instagram,False,533,15,11,2020,2020-11-15
18899,Facebook,False,152,28,3,2020,2020-03-28
18900,Organic,True,465,21,11,2020,2020-11-21
18901,Organic,True,354,1,5,2020,2020-05-01
18902,Instagram,False,256,7,6,2020,2020-06-07
18903,Facebook,True,335,15,6,2020,2020-06-15
18904,Email Marketing,False,633,1,5,2020,2020-05-01
18905,Google Search,True,205,26,1,2020,2020-01-26
18906,Organic,False,696,26,4,2020,2020-04-26
18907,Google Search,False,29,17,12,2020,2020-12-17
18908,Organic,True,255,15,9,2020,2020-09-15
18909,Organic,False,398,26,9,2020,2020-09-26
18910,Organic,True,357,11,9,2020,2020-09-11
18911,Google Display,False,389,24,12,2020,2020-12-24
18912,Facebook,True,280,3,7,2020,2020-07-03
18913,Organic,True,551,6,7,2020,2020-07-06
18914,Direct,True,233,27,12,2020,2020-12-27
18915,Facebook,False,138,19,10,2020,2020-10-19
18916,Email Marketing,False,496,12,1,2020,2020-01-12
18917,Google Search,False,55,21,7,2020,2020-07-21
18918,Organic,False,611,23,9,2020,2020-09-23
18919,Organic,False,320,24,12,2020,2020-12-24
18920,Facebook,False,33,15,12,2020,2020-12-15
18921,Google Search,True,670,21,6,2020,2020-06-21
18922,Google Search,True,517,25,12,2020,2020-12-25
18923,Google Search,False,122,2,7,2020,2020-07-02
18924,Youtube,True,66,20,4,2020,2020-04-20
18925,Facebook,True,470,15,11,2020,2020-11-15
18926,Organic,False,537,9,7,2020,2020-07-09
18927,Facebook,False,386,26,9,2020,2020-09-26
18928,Google Search,False,545,18,4,2020,2020-04-18
18929,Facebook,True,9,25,11,2020,2020-11-25
18930,Direct,True,70,18,5,2020,2020-05-18
18931,Organic,True,215,25,10,2020,2020-10-25
18932,Facebook,False,333,8,12,2020,2020-12-08
18933,Organic,False,664,22,2,2020,2020-02-22
18934,Google Search,True,90,18,5,2020,2020-05-18
18935,Google Search,True,152,10,12,2020,2020-12-10
18936,Google Search,False,87,6,2,2020,2020-02-06
18937,Google Search,False,26,25,4,2020,2020-04-25
18938,Google Search,False,656,3,8,2020,2020-08-03
18939,Organic,False,272,20,1,2020,2020-01-20
18940,Facebook,False,423,26,10,2020,2020-10-26
18941,Facebook,False,685,13,11,2020,2020-11-13
18942,Organic,True,329,28,9,2020,2020-09-28
18943,Direct,True,367,19,6,2020,2020-06-19
18944,Instagram,True,562,2,3,2020,2020-03-02
18945,Instagram,True,70,1,7,2020,2020-07-01
18946,Google Search,True,352,6,3,2020,2020-03-06
18947,Organic,True,617,27,6,2020,2020-06-27
18948,Organic,False,305,20,11,2020,2020-11-20
18949,Google Display,False,516,14,8,2020,2020-08-14
18950,Google Search,False,305,24,5,2020,2020-05-24
18951,Google Search,False,132,3,11,2020,2020-11-03
18952,Google Display,False,350,7,3,2020,2020-03-07
18953,Direct,False,193,19,8,2020,2020-08-19
18954,Organic,True,216,27,8,2020,2020-08-27
18955,Google Search,False,592,16,11,2020,2020-11-16
18956,Youtube,False,232,1,5,2020,2020-05-01
18957,Youtube,True,214,5,11,2020,2020-11-05
18958,Facebook,True,202,8,7,2020,2020-07-08
18959,Google Search,False,18,12,7,2020,2020-07-12
18960,Direct,False,48,28,4,2020,2020-04-28
18961,Organic,True,204,20,4,2020,2020-04-20
18962,Direct,False,451,12,3,2020,2020-03-12
18963,Direct,True,227,3,4,2020,2020-04-03
18964,Organic,False,514,2,10,2020,2020-10-02
18965,Instagram,False,45,17,9,2020,2020-09-17
18966,Organic,True,412,10,3,2020,2020-03-10
18967,Organic,True,261,5,11,2020,2020-11-05
18968,Google Search,False,85,28,3,2020,2020-03-28
18969,Google Search,True,638,5,11,2020,2020-11-05
18970,Direct,False,130,28,10,2020,2020-10-28
18971,Email Marketing,False,151,6,12,2020,2020-12-06
18972,Organic,True,351,2,9,2020,2020-09-02
18973,Google Search,False,25,28,4,2020,2020-04-28
18974,Organic,False,393,5,12,2020,2020-12-05
18975,Google Search,True,375,20,3,2020,2020-03-20
18976,Organic,False,258,6,8,2020,2020-08-06
18977,Facebook,False,373,11,8,2020,2020-08-11
18978,Email Marketing,True,77,7,10,2020,2020-10-07
18979,Direct,False,554,8,12,2020,2020-12-08
18980,Facebook,True,48,16,11,2020,2020-11-16
18981,Google Search,True,314,12,2,2020,2020-02-12
18982,Instagram,False,441,6,2,2020,2020-02-06
18983,Google Search,True,549,2,10,2020,2020-10-02
18984,Google Search,False,353,11,1,2020,2020-01-11
18985,Facebook,False,63,27,3,2020,2020-03-27
18986,Direct,True,99,7,9,2020,2020-09-07
18987,Instagram,False,297,22,12,2020,2020-12-22
18988,Direct,False,5,5,3,2020,2020-03-05
18989,Organic,False,374,6,6,2020,2020-06-06
18990,Organic,True,516,14,4,2020,2020-04-14
18991,Direct,False,132,11,6,2020,2020-06-11
18992,Youtube,False,403,17,7,2020,2020-07-17
18993,Google Search,True,497,9,6,2020,2020-06-09
18994,Google Display,True,333,2,8,2020,2020-08-02
18995,Organic,False,544,2,6,2020,2020-06-02
18996,Google Display,True,41,8,3,2020,2020-03-08
18997,Organic,True,308,7,11,2020,2020-11-07
18998,Google Search,True,699,21,12,2020,2020-12-21
18999,Facebook,False,26,25,7,2020,2020-07-25
19000,Google Display,False,661,11,5,2020,2020-05-11
19001,Google Display,False,508,23,9,2020,2020-09-23
19002,Organic,True,584,20,4,2020,2020-04-20
19003,Google Search,False,12,20,3,2020,2020-03-20
19004,Direct,True,526,14,5,2020,2020-05-14
19005,Direct,False,388,1,4,2020,2020-04-01
19006,Facebook,True,427,19,2,2020,2020-02-19
19007,Email Marketing,False,127,22,11,2020,2020-11-22
19008,Organic,False,302,5,10,2020,2020-10-05
19009,Organic,False,666,20,1,2020,2020-01-20
19010,Organic,False,605,25,2,2020,2020-02-25
19011,Google Search,True,383,9,1,2020,2020-01-09
19012,Direct,True,21,14,7,2020,2020-07-14
19013,Direct,False,336,10,5,2020,2020-05-10
19014,Organic,True,224,12,8,2020,2020-08-12
19015,Organic,False,150,27,3,2020,2020-03-27
19016,Direct,False,616,4,8,2020,2020-08-04
19017,Google Search,True,113,24,9,2020,2020-09-24
19018,Instagram,False,126,5,8,2020,2020-08-05
19019,Google Search,False,640,10,4,2020,2020-04-10
19020,Instagram,True,587,17,1,2020,2020-01-17
19021,Facebook,False,454,18,5,2020,2020-05-18
19022,Google Display,False,247,9,1,2020,2020-01-09
19023,Organic,False,410,26,12,2020,2020-12-26
19024,Instagram,False,530,16,10,2020,2020-10-16
19025,Organic,True,675,10,11,2020,2020-11-10
19026,Direct,True,104,5,11,2020,2020-11-05
19027,Facebook,False,166,14,1,2020,2020-01-14
19028,Organic,False,295,21,10,2020,2020-10-21
19029,Organic,False,246,23,12,2020,2020-12-23
19030,Google Display,False,616,20,6,2020,2020-06-20
19031,Organic,True,39,25,7,2020,2020-07-25
19032,Organic,False,106,4,5,2020,2020-05-04
19033,Organic,False,445,6,12,2020,2020-12-06
19034,Organic,False,541,17,10,2020,2020-10-17
19035,Youtube,False,336,9,5,2020,2020-05-09
19036,Instagram,False,119,6,6,2020,2020-06-06
19037,Youtube,True,420,15,8,2020,2020-08-15
19038,Organic,False,474,15,11,2020,2020-11-15
19039,Email Marketing,False,438,6,9,2020,2020-09-06
19040,Facebook,False,129,20,4,2020,2020-04-20
19041,Google Search,True,162,12,8,2020,2020-08-12
19042,Facebook,False,682,18,2,2020,2020-02-18
19043,Direct,False,488,26,1,2020,2020-01-26
19044,Email Marketing,True,501,17,9,2020,2020-09-17
19045,Facebook,True,391,16,5,2020,2020-05-16
19046,Organic,True,18,20,5,2020,2020-05-20
19047,Direct,True,476,28,10,2020,2020-10-28
19048,Facebook,False,673,14,3,2020,2020-03-14
19049,Organic,False,371,23,11,2020,2020-11-23
19050,Organic,False,196,28,7,2020,2020-07-28
19051,Facebook,False,330,23,11,2020,2020-11-23
19052,Organic,False,656,25,6,2020,2020-06-25
19053,Organic,True,617,10,2,2020,2020-02-10
19054,Direct,False,335,26,3,2020,2020-03-26
19055,Google Search,False,532,17,7,2020,2020-07-17
19056,Google Search,False,405,7,1,2020,2020-01-07
19057,Organic,True,160,14,11,2020,2020-11-14
19058,Facebook,True,218,3,3,2020,2020-03-03
19059,Instagram,False,131,15,8,2020,2020-08-15
19060,Google Display,False,307,8,1,2020,2020-01-08
19061,Organic,True,381,25,8,2020,2020-08-25
19062,Google Search,True,76,24,12,2020,2020-12-24
19063,Organic,False,209,6,10,2020,2020-10-06
19064,Google Search,False,414,15,9,2020,2020-09-15
19065,Instagram,True,254,18,6,2020,2020-06-18
19066,Google Display,True,90,19,2,2020,2020-02-19
19067,Organic,False,516,5,2,2020,2020-02-05
19068,Organic,True,51,1,7,2020,2020-07-01
19069,Facebook,True,528,10,7,2020,2020-07-10
19070,Direct,False,428,3,3,2020,2020-03-03
19071,Organic,False,67,19,3,2020,2020-03-19
19072,Google Search,False,336,7,7,2020,2020-07-07
19073,Google Search,False,159,28,1,2020,2020-01-28
19074,Google Search,False,286,14,11,2020,2020-11-14
19075,Google Search,False,380,6,3,2020,2020-03-06
19076,Google Search,False,265,22,9,2020,2020-09-22
19077,Google Search,False,124,28,12,2020,2020-12-28
19078,Facebook,False,60,10,3,2020,2020-03-10
19079,Facebook,True,430,14,5,2020,2020-05-14
19080,Instagram,False,624,22,5,2020,2020-05-22
19081,Organic,True,546,27,1,2020,2020-01-27
19082,Google Search,False,16,15,3,2020,2020-03-15
19083,Youtube,False,25,23,1,2020,2020-01-23
19084,Organic,False,113,9,6,2020,2020-06-09
19085,Organic,False,399,26,7,2020,2020-07-26
19086,Youtube,True,378,26,7,2020,2020-07-26
19087,Instagram,True,316,1,1,2020,2020-01-01
19088,Google Search,True,130,24,6,2020,2020-06-24
19089,Organic,True,484,16,2,2020,2020-02-16
19090,Organic,True,547,17,4,2020,2020-04-17
19091,Organic,False,380,5,7,2020,2020-07-05
19092,Organic,False,283,14,3,2020,2020-03-14
19093,Facebook,False,78,1,11,2020,2020-11-01
19094,Google Display,False,23,6,10,2020,2020-10-06
19095,Organic,False,582,8,2,2020,2020-02-08
19096,Google Search,False,223,22,7,2020,2020-07-22
19097,Instagram,True,398,24,3,2020,2020-03-24
19098,Direct,False,311,25,11,2020,2020-11-25
19099,Youtube,True,517,7,11,2020,2020-11-07
19100,Youtube,False,397,4,7,2020,2020-07-04
19101,Organic,True,142,10,11,2020,2020-11-10
19102,Organic,True,1,26,10,2020,2020-10-26
19103,Organic,False,448,21,1,2020,2020-01-21
19104,Email Marketing,False,456,27,5,2020,2020-05-27
19105,Organic,True,327,19,11,2020,2020-11-19
19106,Facebook,False,107,21,9,2020,2020-09-21
19107,Google Search,False,419,18,2,2020,2020-02-18
19108,Organic,False,102,26,5,2020,2020-05-26
19109,Facebook,False,12,28,6,2020,2020-06-28
19110,Organic,False,183,26,2,2020,2020-02-26
19111,Youtube,True,359,19,12,2020,2020-12-19
19112,Facebook,False,485,14,7,2020,2020-07-14
19113,Google Search,False,199,2,7,2020,2020-07-02
19114,Organic,False,13,13,6,2020,2020-06-13
19115,Organic,True,388,1,9,2020,2020-09-01
19116,Google Display,True,75,11,8,2020,2020-08-11
19117,Direct,True,32,21,5,2020,2020-05-21
19118,Facebook,False,349,4,5,2020,2020-05-04
19119,Google Search,False,364,22,11,2020,2020-11-22
19120,Organic,True,297,1,10,2020,2020-10-01
19121,Facebook,False,498,9,8,2020,2020-08-09
19122,Email Marketing,False,315,10,3,2020,2020-03-10
19123,Google Search,False,699,4,12,2020,2020-12-04
19124,Direct,False,217,15,11,2020,2020-11-15
19125,Facebook,True,84,25,12,2020,2020-12-25
19126,Instagram,False,577,17,9,2020,2020-09-17
19127,Organic,False,7,14,9,2020,2020-09-14
19128,Organic,False,482,16,9,2020,2020-09-16
19129,Organic,False,572,11,3,2020,2020-03-11
19130,Google Search,False,642,13,5,2020,2020-05-13
19131,Email Marketing,False,208,27,9,2020,2020-09-27
19132,Organic,False,214,11,10,2020,2020-10-11
19133,Organic,False,27,25,12,2020,2020-12-25
19134,Youtube,False,239,2,2,2020,2020-02-02
19135,Organic,False,49,25,1,2020,2020-01-25
19136,Organic,True,613,16,3,2020,2020-03-16
19137,Facebook,False,376,22,11,2020,2020-11-22
19138,Google Search,False,606,4,11,2020,2020-11-04
19139,Organic,False,688,28,7,2020,2020-07-28
19140,Organic,True,328,24,10,2020,2020-10-24
19141,Organic,False,200,27,2,2020,2020-02-27
19142,Google Display,False,536,14,10,2020,2020-10-14
19143,Facebook,False,1,26,9,2020,2020-09-26
19144,Google Search,False,419,10,1,2020,2020-01-10
19145,Instagram,True,102,1,3,2020,2020-03-01
19146,Facebook,False,558,20,10,2020,2020-10-20
19147,Organic,True,582,13,12,2020,2020-12-13
19148,Organic,False,339,15,3,2020,2020-03-15
19149,Google Display,True,654,27,8,2020,2020-08-27
19150,Google Search,False,226,17,8,2020,2020-08-17
19151,Google Display,False,400,13,10,2020,2020-10-13
19152,Google Search,False,373,16,8,2020,2020-08-16
19153,Google Search,True,108,28,4,2020,2020-04-28
19154,Facebook,True,369,13,10,2020,2020-10-13
19155,Facebook,False,531,27,8,2020,2020-08-27
19156,Direct,True,295,27,4,2020,2020-04-27
19157,Organic,False,168,24,9,2020,2020-09-24
19158,Organic,False,147,21,9,2020,2020-09-21
19159,Google Search,True,576,11,12,2020,2020-12-11
19160,Organic,False,151,13,6,2020,2020-06-13
19161,Instagram,False,195,18,8,2020,2020-08-18
19162,Facebook,True,383,5,5,2020,2020-05-05
19163,Google Search,True,347,11,12,2020,2020-12-11
19164,Organic,True,578,3,5,2020,2020-05-03
19165,Google Search,True,299,16,12,2020,2020-12-16
19166,Direct,False,201,3,11,2020,2020-11-03
19167,Organic,False,15,24,9,2020,2020-09-24
19168,Instagram,True,678,6,1,2020,2020-01-06
19169,Google Search,True,96,10,9,2020,2020-09-10
19170,Direct,False,484,27,3,2020,2020-03-27
19171,Instagram,False,415,18,11,2020,2020-11-18
19172,Organic,False,170,27,1,2020,2020-01-27
19173,Organic,False,394,20,6,2020,2020-06-20
19174,Email Marketing,False,118,2,11,2020,2020-11-02
19175,Organic,False,435,25,10,2020,2020-10-25
19176,Facebook,False,356,9,1,2020,2020-01-09
19177,Direct,False,45,7,2,2020,2020-02-07
19178,Google Display,True,416,6,1,2020,2020-01-06
19179,Facebook,False,674,2,2,2020,2020-02-02
19180,Organic,False,107,3,6,2020,2020-06-03
19181,Facebook,False,622,22,11,2020,2020-11-22
19182,Instagram,True,269,13,5,2020,2020-05-13
19183,Google Search,True,517,14,3,2020,2020-03-14
19184,Organic,False,228,10,4,2020,2020-04-10
19185,Organic,False,56,14,9,2020,2020-09-14
19186,Email Marketing,True,657,7,12,2020,2020-12-07
19187,Google Search,False,101,13,1,2020,2020-01-13
19188,Organic,False,234,24,6,2020,2020-06-24
19189,Direct,True,98,19,7,2020,2020-07-19
